vertexes,edges,density,time
1,0,0.05,0.0008971666673573964
2,0,0.05,0.001047266666868533
3,0,0.05,0.001413933334504236
4,0,0.05,0.0019692999989236646
5,1,0.05,0.0031555666680560535
6,1,0.05,0.0044972666666846335
7,2,0.05,0.006111099998899287
8,2,0.05,0.006795833333702224
9,3,0.05,0.008613866665522588
10,4,0.05,0.012454066667544339
11,5,0.05,0.014208200000590901
12,6,0.05,0.017873666665953653
13,7,0.05,0.02206939999922497
14,9,0.05,0.026280666666878005
15,10,0.05,0.03300413333514977
16,12,0.05,0.03878623333453864
17,13,0.05,0.04513743333329027
18,15,0.05,0.05196246666704004
19,17,0.05,0.06129309999967821
20,19,0.05,0.07134576666771864
21,21,0.05,0.07815976666734059
22,23,0.05,0.09524033333387176
23,25,0.05,0.10598330000135547
24,27,0.05,0.12206653333635131
25,30,0.05,0.124606900000875
26,32,0.05,0.14982086666748273
27,35,0.05,0.17099313333280483
28,37,0.05,0.1801861666668477
29,40,0.05,0.21071666666709157
30,43,0.05,0.226838866666886
31,46,0.05,0.23743186666536076
32,49,0.05,0.2884125333328787
33,52,0.05,0.3100639999985333
34,56,0.05,0.34188600000106817
35,59,0.05,0.3242708333345945
36,63,0.05,0.37305286666556486
37,66,0.05,0.3834444000001251
38,70,0.05,0.41899156666715953
39,74,0.05,0.4831763666662899
40,78,0.05,0.5147750999995537
41,82,0.05,0.5455471999984715
42,86,0.05,0.6056513333319913
43,90,0.05,0.6266665999992446
44,94,0.05,0.6515304999993532
45,99,0.05,0.7397875333325032
46,103,0.05,0.7775832666671553
47,108,0.05,0.8382889333338047
48,112,0.05,0.8929694666657421
49,117,0.05,0.9480168333335351
50,122,0.05,1.0094222333331497
51,127,0.05,1.1074903999997332
52,132,0.05,1.1488694999992315
53,137,0.05,1.1954763666660522
54,143,0.05,1.2757666666677399
55,148,0.05,1.357347266664514
56,154,0.05,1.4196165999995476
57,159,0.05,1.522593033334374
58,165,0.05,1.5699332999995856
59,171,0.05,1.6783040999996501
60,177,0.05,1.7103473333326253
61,183,0.05,1.8442000666643328
62,189,0.05,1.844347366667402
63,195,0.05,2.001737399998641
64,201,0.05,2.121229033333331
65,208,0.05,2.169718033332894
66,214,0.05,2.329647233332821
67,221,0.05,2.356351400000752
68,227,0.05,2.547730566666928
69,234,0.05,2.618603999998944
70,241,0.05,2.7677402999988963
71,248,0.05,2.818745966667772
72,255,0.05,3.055133299999587
73,262,0.05,3.1959401000013563
74,270,0.05,3.2284735666673705
75,277,0.05,3.3321514000003085
76,285,0.05,3.51653339999937
77,292,0.05,3.676938899998561
78,300,0.05,3.777920966665723
79,308,0.05,3.8325847333316196
80,316,0.05,4.0420124999987666
81,324,0.05,4.265873666669033
82,332,0.05,4.355534566667056
83,340,0.05,4.603512433332924
84,348,0.05,4.789738800001923
85,357,0.05,4.919284700000522
86,365,0.05,5.049798633332614
87,374,0.05,5.2649555333322455
88,382,0.05,5.450229300001297
89,391,0.05,5.538683266666074
90,400,0.05,5.766218066665847
91,409,0.05,6.083115299999046
92,418,0.05,6.238615400001872
93,427,0.05,6.344561066666661
94,437,0.05,6.5053943999998864
95,446,0.05,6.73368616666797
96,456,0.05,7.191207033334972
97,465,0.05,7.225974999998168
98,475,0.05,7.47244856666498
99,485,0.05,7.809102733331012
100,495,0.05,7.965445699998479
1,0,0.1,0.0006124999960851104
2,0,0.1,0.0010165666642099798
3,0,0.1,0.0014973333321677273
4,1,0.1,0.0021457666690594124
5,2,0.1,0.003222133331822382
6,3,0.1,0.005351366664285706
7,4,0.1,0.006883300001921573
8,5,0.1,0.009408333333264332
9,7,0.1,0.013665433333661289
10,9,0.1,0.01663460000334756
11,11,0.1,0.021647200000529665
12,13,0.1,0.028987533331322386
13,15,0.1,0.033598533330329396
14,18,0.1,0.04213616666580341
15,21,0.1,0.056850066667379906
16,24,0.1,0.06688193333369934
17,27,0.1,0.07569866666775245
18,30,0.1,0.08858886666776773
19,34,0.1,0.10629719999997178
20,38,0.1,0.12956243333140569
21,42,0.1,0.1406597999969487
22,46,0.1,0.16988053333951333
23,50,0.1,0.1946666000028093
24,55,0.1,0.22196390000128
25,60,0.1,0.25429986666362464
26,65,0.1,0.2918083333327104
27,70,0.1,0.3242417000005086
28,75,0.1,0.3417820000009897
29,81,0.1,0.38992073333569505
30,87,0.1,0.4249862666692176
31,93,0.1,0.48040686666865895
32,99,0.1,0.5213014000039115
33,105,0.1,0.5589431333343479
34,112,0.1,0.6198235666659002
35,119,0.1,0.692272366660518
36,126,0.1,0.7622874000001426
37,133,0.1,0.8133985666707607
38,140,0.1,0.8073972666655512
39,148,0.1,0.9177388999963417
40,156,0.1,0.9847389000015028
41,164,0.1,1.0818847000024334
42,172,0.1,1.1629109999982272
43,180,0.1,1.2315945000002178
44,189,0.1,1.340393033331111
45,198,0.1,1.4533722666660271
46,207,0.1,1.5494236000004473
47,216,0.1,1.6399166666673182
48,225,0.1,1.7361360333334612
49,235,0.1,1.842002800001789
50,245,0.1,1.9361637000021876
51,255,0.1,2.0897666333307066
52,265,0.1,2.1775513666720294
53,275,0.1,2.3707431333320983
54,286,0.1,2.4832985999940624
55,297,0.1,2.6461763333382273
56,308,0.1,2.7364763999997876
57,319,0.1,2.88678046666746
58,330,0.1,3.036411299998084
59,342,0.1,3.2712833333325384
60,354,0.1,3.3631471999948794
61,366,0.1,3.5387557333346344
62,378,0.1,3.7183277333355136
63,390,0.1,3.8726847333369583
64,403,0.1,4.093818066667154
65,416,0.1,4.368204199999089
66,429,0.1,4.581026433337835
67,442,0.1,4.722184600000408
68,455,0.1,4.860700066666368
69,469,0.1,5.066700066666385
70,483,0.1,5.335222100000199
71,497,0.1,5.5719776666658545
72,511,0.1,6.230816699997869
73,525,0.1,6.274333300002392
74,540,0.1,6.3716207999997705
75,555,0.1,7.297627799998925
76,570,0.1,7.5679555333332855
77,585,0.1,7.453945899998378
78,600,0.1,7.427620899999472
79,616,0.1,7.710133399997214
80,632,0.1,7.922085999998292
81,648,0.1,8.184033366666199
82,664,0.1,8.449102766668185
83,680,0.1,8.820795866667671
84,697,0.1,9.089926433334009
85,714,0.1,9.580037500004815
86,731,0.1,9.821597233335902
87,748,0.1,10.028063933331547
88,765,0.1,10.46455976666607
89,783,0.1,10.751955566669835
90,801,0.1,11.262683433333601
91,819,0.1,11.552198566667471
92,837,0.1,11.919633400003704
93,855,0.1,12.373252766664677
94,874,0.1,12.706309699999943
95,893,0.1,13.342886133330959
96,912,0.1,13.587815399995407
97,931,0.1,14.065380700000674
98,950,0.1,14.384537599998263
99,970,0.1,15.241615299999012
100,990,0.1,15.344947099997816
1,0,0.15,0.0006305333338711231
2,0,0.15,0.0009986333329455495
3,0,0.15,0.0015069666668902453
4,1,0.15,0.002794500002778477
5,3,0.15,0.004541700002391735
6,4,0.15,0.006866866666162726
7,6,0.15,0.008883233332805199
8,8,0.15,0.013111133330312441
9,10,0.15,0.01703880000055354
10,13,0.15,0.02329036666992579
11,16,0.15,0.033877666665678895
12,19,0.15,0.040349966665568594
13,23,0.15,0.05234163333038092
14,27,0.15,0.06756383332913174
15,31,0.15,0.0803000000018983
16,36,0.15,0.09571253333717777
17,40,0.15,0.1119250000044758
18,45,0.15,0.13261126666937648
19,51,0.15,0.16002090000029057
20,57,0.15,0.18321246666630486
21,63,0.15,0.22129573333510658
22,69,0.15,0.2521193666638055
23,75,0.15,0.2915000666670646
24,82,0.15,0.326072233336087
25,90,0.15,0.3690180333336457
26,97,0.15,0.40780686666437305
27,105,0.15,0.4533596666666047
28,113,0.15,0.5249653333360508
29,121,0.15,0.581158266663806
30,130,0.15,0.6355486333328978
31,139,0.15,0.6917264333357783
32,148,0.15,0.7587249666642037
33,158,0.15,0.8473805333333454
34,168,0.15,0.9256611666643266
35,178,0.15,0.9805639333336558
36,189,0.15,1.079374900002487
37,199,0.15,1.2060209333318046
38,210,0.15,1.2305986333312073
39,222,0.15,1.4024097666672712
40,234,0.15,1.500315199999136
41,246,0.15,1.5989179333322074
42,258,0.15,1.6956874666666029
43,270,0.15,1.8207652666689
44,283,0.15,1.9692597666666718
45,297,0.15,2.1150902999986934
46,310,0.15,2.205451366665064
47,324,0.15,2.383511066664331
48,338,0.15,2.5999694666666073
49,352,0.15,2.6981360000036148
50,367,0.15,2.897867966670257
51,382,0.15,3.0560820333325487
52,397,0.15,3.2251680333350428
53,413,0.15,3.412909633333546
54,429,0.15,3.5900028333353853
55,445,0.15,3.8771861666693517
56,462,0.15,3.9567040333319405
57,478,0.15,4.252156933334088
58,495,0.15,4.415138933332703
59,513,0.15,4.727056866669462
60,531,0.15,4.97929730000332
61,549,0.15,5.264402766664489
62,567,0.15,5.439780399999942
63,585,0.15,5.672799999999256
64,604,0.15,6.054994433332202
65,624,0.15,6.335931899998097
66,643,0.15,6.682222266671071
67,663,0.15,6.898427733334718
68,683,0.15,7.254112466667569
69,703,0.15,7.977054099999729
70,724,0.15,7.986023566666252
71,745,0.15,8.170397366662504
72,766,0.15,8.559968066665155
73,788,0.15,8.978081933333707
74,810,0.15,9.631148666666908
75,832,0.15,9.627919333336385
76,855,0.15,10.008095933336373
77,877,0.15,10.548979166669406
78,900,0.15,10.826748700003463
