vertexes,density,time,probability,result
1,0.05,0.0008763999996830307,0,0.0
2,0.05,0.001044533333072195,0,0.0
3,0.05,0.0016874333329752744,0,0.0
4,0.05,0.002247266666680995,0,0.0
5,0.05,0.0033208666661010966,0,0.0
6,0.05,0.0042542333334931,0,0.0
7,0.05,0.005910966666888839,0,0.0
8,0.05,0.007365099999745439,0,0.0
9,0.05,0.010187400000442418,0,0.0
10,0.05,0.012402799999951716,0,0.0
11,0.05,0.01524033333370293,0,0.0
12,0.05,0.01782213333380393,0,0.0
13,0.05,0.024577733332620255,0,0.0
14,0.05,0.02694316666638959,0,0.0
15,0.05,0.035898599999958,0,0.0
16,0.05,0.04202493333309576,0,0.0
17,0.05,0.05223469999980542,0,0.0
18,0.05,0.057031966667390556,0,0.0
19,0.05,0.06957083333283265,0,0.0
20,0.05,0.07714026666683083,0,0.0
21,0.05,0.092474966666245,0,0.0
22,0.05,0.10843046666752325,0,0.0
23,0.05,0.11176803333322975,0,0.0
24,0.05,0.11834300000010956,0,0.0
25,0.05,0.13988466666710053,0,0.0
26,0.05,0.168334766666689,0,0.0
27,0.05,0.18236950000011612,0,0.0
28,0.05,0.19318056666672115,0,0.0
29,0.05,0.21104866666696864,0,0.0
30,0.05,0.23402499999984153,0,0.0
31,0.05,0.27555293333326364,0,0.0
32,0.05,0.3037543000002548,0,0.0
33,0.05,0.32577369999996125,0,0.0
34,0.05,0.3338985999996898,0,0.0
35,0.05,0.3354764333333075,0,0.0
36,0.05,0.36338340000009833,0,0.0
37,0.05,0.39712086666732205,0,0.0
38,0.05,0.42570419999989895,0,0.0
39,0.05,0.47065143333343923,0,0.0
40,0.05,0.5302902666669477,0,0.0
41,0.05,0.513977933333365,0,0.0
42,0.05,0.6176430333329819,0,0.0
43,0.05,0.6551859999995931,0,0.0
44,0.05,0.6775501999997621,0,0.0
45,0.05,0.7301111333332481,0,0.0
46,0.05,0.7956000000000074,0,0.0
47,0.05,0.8588179999999094,0,0.0
48,0.05,0.8957791666662255,0,0.0
