vertexes,edges,density,time
1,0,0.05,0.002919399980783055
2,0,0.05,0.0029334666730089034
3,0,0.05,0.00666806666534588
4,0,0.05,0.012765299993588997
5,1,0.05,0.021834766691123757
6,1,0.05,0.03542213332063208
7,2,0.05,0.05339313336965764
8,2,0.05,0.07674033334600001
9,3,0.05,0.1058638999741864
10,4,0.05,0.14195833333966826
11,5,0.05,0.18143879995780784
12,6,0.05,0.23211946668955838
13,7,0.05,0.2907527333187924
14,9,0.05,0.3554250333233237
15,10,0.05,0.433369366661888
16,12,0.05,0.5220374333248401
17,13,0.05,0.6213930666945089
18,15,0.05,0.7364181000032962
19,17,0.05,0.8671790666691473
20,19,0.05,0.9968055666452832
21,21,0.05,1.137268099978428
22,23,0.05,1.413376433326145
23,25,0.05,1.5058277666639697
24,27,0.05,1.7079249333316209
25,30,0.05,1.912405533319846
26,32,0.05,2.1664735999896343
27,35,0.05,2.4152278666861093
28,37,0.05,2.6635832333264866
29,40,0.05,2.9923248666667255
30,43,0.05,3.2752054666540666
31,46,0.05,3.6502818999982387
32,49,0.05,3.976808433321821
33,52,0.05,4.367848466646744
34,56,0.05,4.773879166684007
35,59,0.05,4.71953476667295
36,63,0.05,5.095762499990997
37,66,0.05,5.456632100003844
38,70,0.05,5.849966633347019
39,74,0.05,6.397433433312472
40,78,0.05,6.87809446664384
41,82,0.05,7.429718000025787
42,86,0.05,7.913230599986794
43,90,0.05,8.52473196663747
44,94,0.05,9.161412433354599
45,99,0.05,9.801966566654604
46,103,0.05,10.454687466631185
47,108,0.05,11.20514163333913
48,112,0.05,11.912483233322746
49,117,0.05,12.64763756667738
50,122,0.05,13.651387566695425
51,127,0.05,14.300581999987116
52,132,0.05,15.076088933309014
53,137,0.05,16.062873633328916
54,143,0.05,16.925422299997688
55,148,0.05,17.74567776666724
56,154,0.05,18.735601266659312
57,159,0.05,19.90340833334206
58,165,0.05,20.943779033329218
59,171,0.05,22.00014159999076
60,177,0.05,23.21384440001566
61,183,0.05,24.34943046666073
62,189,0.05,25.60092913333089
63,195,0.05,26.78419436670083
64,201,0.05,27.825290366657402
65,208,0.05,29.517873533313832
66,214,0.05,30.671972366667433
67,221,0.05,32.020833266650094
68,227,0.05,33.68875283332121
69,234,0.05,35.22841659999661
70,241,0.05,36.86062353330423
71,248,0.05,38.31453053333765
72,255,0.05,39.899100033335344
73,262,0.05,41.750434800004165
74,270,0.05,43.36798746667986
75,277,0.05,44.93460710001121
76,285,0.05,46.798894433345595
77,292,0.05,48.8396680333229
78,300,0.05,50.73510556668831
79,308,0.05,52.64395696666876
80,316,0.05,54.35424590000366
81,324,0.05,56.584295766674586
82,332,0.05,58.77915699998842
83,340,0.05,64.04789296669453
84,348,0.05,63.17048199997165
85,357,0.05,65.33271803336145
86,365,0.05,67.40248316667324
87,374,0.05,70.01186240001213
88,382,0.05,72.50479729999218
89,391,0.05,74.81662359997851
90,400,0.05,77.36890836667953
91,409,0.05,80.03887356665776
92,418,0.05,82.60106673337002
93,427,0.05,85.09740826665772
94,437,0.05,88.1812083333519
95,446,0.05,90.69323046666493
96,456,0.05,93.97099443332688
97,465,0.05,96.72629173335281
98,475,0.05,99.87044860000272
